mun,num,label,wd,wd_url
0306,01,Одесос,Odessos,Q11292057
0306,02,Приморски,Primorski,Q11335658
0306,03,Младост,Mladost,Q3657292
0306,04,Владислав Варненчик,"Vladislav Varnenchik, Varna",Q7709642
0306,05,Аспарухово,Asparuhovo,Q12272503
1622,01,Централен,"Central district, Plovdiv",Q5062096
1622,02,Източен,"Eastern district, Plovdiv",Q12281496
1622,03,Западен,"Western district, Plovdiv",Q7988480
1622,04,Северен,"Northern district, Plovdiv",Q7059194
1622,03,Западен,"Western district, Plovdiv",Q7988480
1622,04,Северен,"Northern district, Plovdiv",Q7059194
1622,05,Южен,"Southern district, Plovdiv",Q7570666
1622,06,Тракия,Trakiya district,Q3557743
1622,02,Източен,"Eastern district, Plovdiv",Q12281496
1622,06,Тракия,Trakiya district,Q3557743
2246,01,Средец,Sredets District,Q7582432
2246,02,Красно село,Krasno Selo District,Q6436239
2246,03,Възраждане,Vazrazhdane District,Q7917652
2246,04,Оборище,Oborishte District,Q3658289
2246,05,Сердика,Serdika District,Q8014589
2246,06,Подуяне,Poduyane District,Q7207186
2246,07,Слатина,Slatina District,Q7538927
2246,08,Изгрев,Izgrev District,Q6101953
2246,09,Лозенец,Lozenets District,Q3658292
2246,10,Триадица,Triaditsa District,Q3658300
2246,11,Красна поляна,Krasna Polyana District,Q6436209
2246,12,Илинден,Ilinden District,Q5998266
2246,13,Надежда,Nadezhda District,Q3658044
2246,14,Искър,Iskar District,Q9305799
2246,15,Младост,Mladost District,Q11834092
2246,16,Студентски,Studentski District,Q11834095
2246,17,Витоша,Vitosha District,Q7937207
2246,18,Овча купел,Ovcha Kupel District,Q7113283
2246,19,Люлин,Lyulin District,Q6710571
2246,20,Връбница,Vrabnitsa District,Q8014749
2246,21,Нови Искър,Novi Iskar District,Q9305803
2246,22,Кремиковци,Kremikovtsi District,Q9305801
2246,23,Панчарево,Pancharevo District,Q1027607
2246,24,Банкя,Bankya District,Q9305797
